path_img,punto_1_X,punto_1_Y,punto_2_X,punto_2_Y,punto_5_X,punto_5_Y,punto_6_X,punto_6_Y
1.jpg,1288.0,660.0,2079.5,607.5,2019.5,1235.5,1963.5,1695.5
2.jpg,1176.0,676.0,1947.5,647.5,1931.5,1247.5,1823.5,1699.5
3.jpg,430.0,266.0,708.833,226.167,696.833,448.833,668.833,560.833
4.jpg,1228.0,780.0,1963.5,707.5,1927.5,1303.5,1863.5,1647.5
5.jpg,1236.0,728.0,1987.5,555.5,1967.5,1079.5,1967.5,1475.5
6.jpg,1224.0,696.0,1967.5,463.5,2019.5,1079.5,2007.5,1439.5
7.jpg,1043.5,535.5,1791.5,275.5,1911.5,971.5,1803.5,1455.5
8.jpg,1256.0,628.0,2051.5,511.5,2031.5,1227.5,1947.5,1591.5
9.jpg,1252.0,752.0,2047.5,747.5,1943.5,1363.5,1815.5,1731.5
11.jpg,1144.0,712.0,1887.5,567.5,1887.5,1131.5,1871.5,1447.5
12.jpg,1176.0,632.0,1923.5,463.5,1959.5,1119.5,1935.5,1479.5
13.jpg,1170.0,660.0,2048.5,521.5,2078.5,1244.5,2000.5,1688.5
15.jpg,1244.0,732.0,2023.5,667.5,2027.5,1327.5,1995.5,1735.5
16.jpg,1158.0,642.0,1838.5,506.5,1820.5,1091.5,1823.5,1430.5
17.jpg,1108.0,688.0,1815.5,567.5,1859.5,1123.5,1851.5,1483.5
18.jpg,1232.0,612.0,2031.5,459.5,2067.5,1143.5,2007.5,1603.5
19.jpg,1192.0,680.0,1999.5,567.5,2007.5,1231.5,1931.5,1603.5
20.jpg,1140.0,728.0,1863.5,491.5,1967.5,1095.5,1999.5,1471.5
21.jpg,1160.0,676.0,1923.5,431.5,1991.5,1055.5,2035.5,1463.5
22.jpg,1176.0,676.0,1919.5,423.5,1995.5,1051.5,2035.5,1463.5
23.jpg,1220.0,620.0,1963.5,519.5,1971.5,1111.5,1975.5,1523.5
24.jpg,1188.0,728.0,1951.5,511.5,2007.5,1107.5,2019.5,1483.5
25.jpg,1228.0,708.0,1971.5,543.5,1987.5,1219.5,1967.5,1615.5
27.jpg,1232.0,680.0,2031.5,547.5,1971.5,1167.5,1955.5,1583.5
28.jpg,1160.0,684.0,1879.5,431.5,1999.5,1071.5,2011.5,1395.5
29.jpg,1356.0,672.0,2051.5,655.5,1959.5,1335.5,1851.5,1695.5
30.jpg,1148.0,640.0,1895.5,399.5,1943.5,999.5,1963.5,1395.5
31.jpg,1083.0,570.0,1712.5,536.5,1634.5,1052.5,1580.5,1397.5
