path_img,punto_3_X,punto_3_Y,punto_4_X,punto_4_Y,punto_8_X,punto_8_Y,punto_9_X,punto_9_Y
1.jpg,1495.5,1167.5,2075.5,1167.5,1895.5,1987.5,1175.5,1567.5
2.jpg,1371.5,1127.5,1971.5,1163.5,1763.5,1911.5,1083.5,1475.5
3.jpg,519.5,420.833,715.5,423.5,643.5,631.5,426.167,532.833
4.jpg,1427.5,1235.5,1983.5,1215.5,1791.5,1851.5,1171.5,1507.5
5.jpg,1471.5,1135.5,2051.5,1067.5,1931.5,1683.5,1223.5,1491.5
6.jpg,1483.5,1183.5,2123.5,1023.5,2023.5,1695.5,1275.5,1615.5
7.jpg,1355.5,979.5,1923.5,795.5,1719.5,1751.5,1047.5,1339.5
8.jpg,1523.5,1107.5,2143.5,1119.5,1887.5,1835.5,1139.5,1443.5
9.jpg,1463.5,1239.5,2087.5,1295.5,1731.5,1939.5,1031.5,1579.5
11.jpg,1387.5,1095.5,1951.5,1063.5,1831.5,1639.5,1147.5,1355.5
12.jpg,1395.5,1031.5,2043.5,1039.5,1951.5,1711.5,1155.5,1411.5
13.jpg,1475.5,1199.5,2042.5,1148.5,1979.5,1916.5,1145.5,1538.5
15.jpg,1463.5,1259.5,2111.5,1243.5,1935.5,1919.5,1215.5,1527.5
16.jpg,1370.5,1046.5,1877.5,1079.5,1814.5,1655.5,1094.5,1412.5
17.jpg,1359.5,1099.5,1907.5,1055.5,1827.5,1687.5,1091.5,1371.5
18.jpg,1471.5,1083.5,2147.5,1039.5,1947.5,1831.5,1143.5,1443.5
19.jpg,1435.5,1111.5,2059.5,1143.5,1919.5,1811.5,1155.5,1587.5
20.jpg,1463.5,1143.5,2079.5,1043.5,1999.5,1683.5,1211.5,1491.5
21.jpg,1447.5,1067.5,2103.5,979.5,2031.5,1703.5,1267.5,1507.5
22.jpg,1455.5,1067.5,2107.5,983.5,2027.5,1703.5,1263.5,1499.5
23.jpg,1463.5,1071.5,1983.5,1059.5,1963.5,1759.5,1187.5,1459.5
24.jpg,1483.5,1127.5,2067.5,1051.5,2011.5,1715.5,1195.5,1515.5
25.jpg,1491.5,1143.5,2039.5,1163.5,1955.5,1847.5,1163.5,1535.5
27.jpg,1483.5,1127.5,2083.5,1095.5,1911.5,1795.5,1295.5,1459.5
28.jpg,1451.5,1111.5,2051.5,991.5,2023.5,1631.5,1203.5,1539.5
29.jpg,1475.5,1171.5,2015.5,1251.5,1775.5,1879.5,1079.5,1391.5
30.jpg,1479.5,1023.5,2067.5,923.5,1991.5,1615.5,1207.5,1395.5
31.jpg,1244.5,962.5,1721.5,971.5,1523.5,1556.5,1010.5,1259.5
32.jpg,1387.5,1179.5,2019.5,1191.5,1847.5,1863.5,1119.5,1507.5
33.jpg,1483.5,971.5,1907.5,947.5,1843.5,1619.5,1163.5,1359.5
35.jpg,1487.5,1207.5,2035.5,1195.5,1799.5,2011.5,1167.5,1595.5
36.jpg,1455.5,1159.5,2023.5,1195.5,1851.5,1883.5,1179.5,1503.5
37.jpg,1439.5,1067.5,2003.5,1015.5,1847.5,1739.5,1099.5,1507.5
38.jpg,1487.5,1091.5,2043.5,1019.5,2003.5,1751.5,1255.5,1447.5
40.jpg,1411.5,1099.5,1971.5,1099.5,1803.5,1783.5,1151.5,1419.5
41.jpg,1157.5,911.5,1673.5,854.5,1505.5,1424.5,1001.5,1154.5
42.jpg,1463.5,1131.5,2071.5,1123.5,1895.5,1735.5,1159.5,1467.5
43.jpg,1727.5,1231.5,2447.5,1207.5,2307.5,1915.5,1503.5,1619.5
44.jpg,1283.5,980.5,1823.5,914.5,1760.5,1484.5,1067.5,1292.5
45.jpg,1363.5,1175.5,1939.5,1239.5,1743.5,1839.5,1083.5,1415.5
47.jpg,1479.5,1123.5,2031.5,1087.5,1871.5,1827.5,1139.5,1439.5
48.jpg,1487.5,1039.5,2095.5,999.5,1947.5,1799.5,1191.5,1451.5
49.jpg,1403.5,1175.5,1947.5,1215.5,1767.5,1895.5,1091.5,1487.5
